,Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,c-type,Rlow,Ravg,Rhigh,Phx10
0,0,Bihar,AURANGABAD,1997,Kharif     ,Arhar/Tur,745,531.0,2,1.0,0.0,0.0,63.0
1,1,Bihar,AURANGABAD,1997,Kharif     ,Dry ginger,8,11.0,3,1.0,0.0,0.0,63.0
2,2,Bihar,AURANGABAD,1997,Kharif     ,Groundnut,1,1.0,3,1.0,0.0,0.0,63.0
3,3,Bihar,AURANGABAD,1997,Kharif     ,Maize,222,274.0,2,1.0,0.0,0.0,63.0
4,4,Bihar,AURANGABAD,1997,Kharif     ,Other Kharif pulses,2,1.0,2,1.0,0.0,0.0,63.0
5,5,Bihar,AURANGABAD,1997,Kharif     ,Sesamum,35,21.0,2,1.0,0.0,0.0,63.0
6,6,Bihar,AURANGABAD,1997,Rabi       ,Barley,2004,1400.0,2,1.0,0.0,0.0,63.0
7,7,Bihar,AURANGABAD,1997,Rabi       ,Gram,6087,4748.0,2,1.0,0.0,0.0,63.0
8,8,Bihar,AURANGABAD,1997,Rabi       ,Linseed,6807,3819.0,2,1.0,0.0,0.0,63.0
9,9,Bihar,AURANGABAD,1997,Rabi       ,Maize,6,18.0,2,1.0,0.0,0.0,63.0
10,10,Bihar,AURANGABAD,1997,Rabi       ,Other  Rabi pulses,309,211.0,2,1.0,0.0,0.0,63.0
11,11,Bihar,AURANGABAD,1997,Rabi       ,Rapeseed &Mustard,1213,536.0,2,1.0,0.0,0.0,63.0
12,12,Bihar,AURANGABAD,1997,Rabi       ,Sunflower,4,4.0,2,1.0,0.0,0.0,63.0
13,13,Bihar,AURANGABAD,1997,Rabi       ,Wheat,35874,63942.0,2,1.0,0.0,0.0,63.0
14,14,Bihar,AURANGABAD,1997,Summer     ,Maize,25,47.0,2,1.0,0.0,0.0,63.0
15,15,Bihar,AURANGABAD,1997,Summer     ,Rice,10,19.0,1,1.0,0.0,0.0,61.0
16,16,Bihar,AURANGABAD,1997,Whole Year ,Coriander,20,10.0,2,1.0,0.0,0.0,63.0
17,17,Bihar,AURANGABAD,1997,Whole Year ,Dry chillies,13,10.0,2,1.0,0.0,0.0,63.0
18,18,Bihar,AURANGABAD,1997,Whole Year ,Onion,256,1956.0,1,1.0,0.0,0.0,61.0
19,19,Bihar,AURANGABAD,1997,Whole Year ,Potato,1554,13567.0,2,1.0,0.0,0.0,63.0
20,20,Bihar,AURANGABAD,1997,Whole Year ,Ragi,21,18.0,2,1.0,0.0,0.0,63.0
21,21,Bihar,AURANGABAD,1997,Whole Year ,Sugarcane,393,8344.0,2,1.0,0.0,0.0,63.0
22,22,Bihar,AURANGABAD,1997,Whole Year ,Sweet potato,26,343.0,3,1.0,0.0,0.0,63.0
23,23,Bihar,AURANGABAD,1997,Whole Year ,Turmeric,15,18.0,2,1.0,0.0,0.0,63.0
24,24,Bihar,AURANGABAD,1997,Winter     ,Rice,185191,382670.0,1,1.0,0.0,0.0,61.0
25,25,Bihar,AURANGABAD,1998,Kharif     ,Arhar/Tur,542,1446.0,2,1.0,0.0,0.0,63.0
26,26,Bihar,AURANGABAD,1998,Kharif     ,Blackgram,26,18.0,2,1.0,0.0,0.0,63.0
27,27,Bihar,AURANGABAD,1998,Kharif     ,Maize,530,613.0,2,1.0,0.0,0.0,63.0
28,28,Bihar,AURANGABAD,1998,Kharif     ,Other Kharif pulses,72,39.0,2,1.0,0.0,0.0,63.0
29,29,Bihar,AURANGABAD,1998,Kharif     ,Ragi,31,26.0,2,1.0,0.0,0.0,63.0
